database,query_id,query_name,run_number,parameters,database_time_ms,processing_time_ms,total_time_ms,row_count,success,error_message,notes
Cassandra,2,recent-business-tips,5,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.0753,0.0575,1.1329,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,6,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.0292,0.0571,1.0863,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,7,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.149,0.0549,1.204,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,8,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.0327,0.0554,1.0881,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,9,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.1723,0.0557,1.228,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,2,recent-business-tips,10,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.129,0.0533,1.1824,1,True,,Date filtering is performed in Python after reading the business partition. Only fields stored by Cassandra are returned.
Cassandra,3,top-business-tippers,1,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.0342,0.0548,1.0891,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,2,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.1425,0.0812,1.2238,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,3,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.2433,0.0572,1.3006,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,4,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.1737,0.0554,1.2292,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,5,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.2615,0.0578,1.3193,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,6,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.3672,0.0602,1.4274,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,7,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.2667,0.058,1.3248,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,8,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.179,0.0568,1.2358,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,9,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.4913,0.0583,1.5496,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,3,top-business-tippers,10,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw"",""reference_date"":""2018-05-05"",""result_limit"":10}",1.2531,0.0578,1.3109,1,True,,Repeated tips from one user to one business may have overwritten each other during loading. Ranking uses the rows stored in Cassandra.
Cassandra,4,user-name,1,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9983,0.0013,0.9997,1,True,,
Cassandra,4,user-name,2,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9335,0.0011,0.9347,1,True,,
Cassandra,4,user-name,3,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9562,0.0011,0.9574,1,True,,
Cassandra,4,user-name,4,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0037,0.0011,1.0048,1,True,,
Cassandra,4,user-name,5,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9656,0.0011,0.9667,1,True,,
Cassandra,4,user-name,6,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.1213,0.0012,1.1225,1,True,,
Cassandra,4,user-name,7,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0787,0.0012,1.08,1,True,,
Cassandra,4,user-name,8,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9528,0.0013,0.9542,1,True,,
Cassandra,4,user-name,9,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.964,0.0011,0.9652,1,True,,
Cassandra,4,user-name,10,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9362,0.001,0.9373,1,True,,
Cassandra,5,highest-star-business-review,1,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.7953,0.1692,1.9646,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,2,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.6497,0.1738,1.8236,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,3,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.7335,0.2469,1.9804,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,4,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.7312,0.213,1.9442,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,5,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",2.0835,0.1746,2.2582,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,6,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.915,0.2497,2.1648,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,7,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.7656,0.173,1.9386,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,8,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.7105,0.1748,1.8853,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,9,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.6504,0.242,1.8925,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,5,highest-star-business-review,10,"{""business_id"":""GBTPC53ZrG1ZBY3DT8Mbcw""}",1.7056,0.176,1.8817,1,True,,Stars are sorted in Python; review ID is the deterministic tie-breaker.
Cassandra,6,review-details,1,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.9817,0.0014,0.9832,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,2,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",1.0778,0.0015,1.0794,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,3,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",1.1083,0.0016,1.1099,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,4,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.9565,0.0013,0.9579,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,5,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.8842,0.0014,0.8857,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,6,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.9811,0.0014,0.9826,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,7,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.8373,0.0014,0.8388,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,8,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.9189,0.0014,0.9204,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,9,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.8799,0.0014,0.8813,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,6,review-details,10,"{""review_id"":""zg9tMcEl0U3HoCV4wUfBLA""}",0.8881,0.0013,0.8894,1,True,,Review text is unavailable because it is not stored in the current Cassandra review table.
Cassandra,7,user-perception,1,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9092,0.0018,0.9111,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,2,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.8806,0.0016,0.8822,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,3,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9553,0.0019,0.9573,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,4,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9952,0.0019,0.9972,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,5,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9161,0.0018,0.9179,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,6,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0118,0.004,1.0159,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,7,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0997,0.0019,1.1017,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,8,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9549,0.0017,0.9566,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,9,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0547,0.0016,1.0563,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,7,user-perception,10,"{""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0061,0.0016,1.0078,1,True,,The physical compliment_cut column is exposed as compliment_cute.
Cassandra,8,personality-ranking,1,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",263.0088,83.8937,346.9026,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,2,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",273.8582,86.4248,360.283,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,3,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",308.1503,96.2558,404.4061,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,4,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",274.3558,82.4641,356.8199,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,5,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",290.4352,83.5935,374.0287,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,6,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",263.0284,90.8071,353.8356,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,7,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",267.8562,86.3545,354.2108,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,8,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",263.979,82.6011,346.5802,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,9,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",263.4124,85.5799,348.9923,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,8,personality-ranking,10,"{""personality_user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA"",""result_limit"":10}",261.9131,82.589,344.5021,1,True,,"The stored user rows are scanned, scored, sorted, and ranked in Python."
Cassandra,9,recent-user-reviews,1,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0469,0.0314,1.0784,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,2,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0349,0.0316,1.0666,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,3,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0573,0.0297,1.0871,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,4,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0615,0.0308,1.0924,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,5,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.976,0.0316,1.0077,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,6,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9906,0.0327,1.0234,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,7,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0185,0.0304,1.0489,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,8,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9633,0.03,0.9934,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,9,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9454,0.0299,0.9753,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,9,recent-user-reviews,10,"{""reference_date"":""2018-05-05"",""result_limit"":10,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9201,0.0304,0.9505,4,True,,Date filtering and star ranking are performed in Python after reading the user partition.
Cassandra,10,user-friends,1,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.1325,0.004,1.1365,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,2,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9453,0.0038,0.9492,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,3,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9557,0.0042,0.96,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,4,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9391,0.0042,0.9433,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,5,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0654,0.004,1.0695,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,6,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9739,0.0039,0.9779,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,7,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9259,0.0039,0.9298,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,8,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9688,0.0042,0.9731,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,9,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",0.9857,0.0038,0.9896,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
Cassandra,10,user-friends,10,"{""friend_result_limit"":null,""user_id"":""Xw7ZjaGfr0WNVt6s_5KZfA""}",1.0542,0.0037,1.0579,5,True,,Only friend rows preserved by the loader are available; names may be blank because the dataset files were trimmed independently. Missing names in returned rows: 3.
